"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;Australia;Queensland;Barrine;;145.6333333;-17.2;6;
2;Australia;Queensland;Barringha;;146.8333333;-19.55;6;
2;Australia;Queensland;Barringna;;146.8333333;-19.55;6;
2;Australia;Queensland;Bartle Frere;;145.8833333;-17.45;6;
2;Australia;Queensland;Batavia;;142.9666667;-13.1;6;
2;Australia;Queensland;Batcha;;144.9166667;-17.4666667;6;
2;Australia;Queensland;Bauple;;152.6166667;-25.8;6;
2;Australia;Queensland;Bayfield;;150.6666667;-22.8333333;6;
2;Australia;Queensland;Beachmere;;153.05;-27.1333333;6;
2;Australia;Queensland;Beaudesert;;152.9833333;-27.9833333;6;
2;Australia;Queensland;Bedourie;;139.4666667;-24.35;6;
2;Australia;Queensland;Beebo;;150.9666667;-28.7;6;
2;Australia;Queensland;Beecher;;151.2;-23.9;6;
2;Australia;Queensland;Beechmont;;153.2166667;-28.1;6;
2;Australia;Queensland;Beenleigh;;153.2;-27.7166667;6;
2;Australia;Queensland;Beerburrum;;152.9666667;-26.9666667;6;
2;Australia;Queensland;Beerwah;;152.9666667;-26.85;6;
2;Australia;Queensland;Belahville;;151.0166667;-26.7;6;
2;Australia;Queensland;Beldene;;148.6333333;-27.0666667;6;
2;Australia;Queensland;Belgian Gardens;;146.8;-19.25;6;
2;Australia;Queensland;Bell;;151.45;-26.9333333;6;
2;Australia;Queensland;Bellara;;153.1430556;-27.065;6;
2;Australia;Queensland;Bellenden Ker;;145.9166667;-17.2666667;6;
2;Australia;Queensland;Bellevue;;152.55;-27.3333333;6;
2;Australia;Queensland;Belmont;;153.1166667;-27.5;6;
2;Australia;Queensland;Bemerside;;146.2333333;-18.5666667;6;
2;Australia;Queensland;Benaraby;;151.3166667;-24.0166667;6;
2;Australia;Queensland;Benarkin;;152.1333333;-26.8833333;6;
2;Australia;Queensland;Benholme;;148.8166667;-21.1666667;6;
2;Australia;Queensland;Benobble;;153.1666667;-27.9833333;6;
2;Australia;Queensland;Benowa;;153.4;-28.0166667;6;
2;Australia;Queensland;Berajondo;;151.8333333;-24.6333333;6;
2;Australia;Queensland;Berat;;152.05;-28.05;6;
2;Australia;Queensland;Berner Creek;;145.9;-17.5666667;6;
2;Australia;Queensland;Berrembea;;152.05;-25.0333333;6;
