"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;Australia;South Australia;Bower;;139.35;-34.1333333;6;
2;Australia;South Australia;Bowillia;;138.4;-33.95;6;
2;Australia;South Australia;Bowmans;;138.2666667;-34.15;6;
2;Australia;South Australia;Bradbury;;138.7166667;-35.0666667;6;
2;Australia;South Australia;Brady Creek;;139;-33.9666667;6;
2;Australia;South Australia;Bramfield;;135.0166667;-33.6166667;6;
2;Australia;South Australia;Brentwood;;137.5;-34.8666667;6;
2;Australia;South Australia;Bridgewater;;138.75;-35;6;
2;Australia;South Australia;Bright;;139.0666667;-33.9;6;
2;Australia;South Australia;Brighton;;138.5166667;-35.0166667;6;
2;Australia;South Australia;Brimpton Lake;;135.5166667;-34.0666667;6;
2;Australia;South Australia;Brinkley;;139.2166667;-35.2333333;6;
2;Australia;South Australia;Brinkworth;;138.4;-33.7;6;
2;Australia;South Australia;Broad Creek;;138.1166667;-33.1;6;
2;Australia;South Australia;Brooker;;135.9;-34.1;6;
2;Australia;South Australia;Brownlow;;139.2666667;-34.25;6;
2;Australia;South Australia;Bruce;;138.2;-32.4666667;6;
2;Australia;South Australia;Brucefield;;137.7666667;-33.8;6;
2;Australia;South Australia;Buccleuch;;139.8833333;-35.35;6;
2;Australia;South Australia;Buckingham;;140.5833333;-36.35;6;
2;Australia;South Australia;Buckleboo;;136.2;-32.9166667;6;
2;Australia;South Australia;Bull Creek;;138.75;-35.2333333;6;
2;Australia;South Australia;Bull Island;;140.1833333;-36.95;6;
2;Australia;South Australia;Bulls Creek;;138.75;-35.2333333;6;
2;Australia;South Australia;Bumbunga;;138.2333333;-33.9166667;6;
2;Australia;South Australia;Bundaleer;;138.5333333;-33.4666667;6;
2;Australia;South Australia;Bungaree;;138.5666667;-33.75;6;
2;Australia;South Australia;Burra;;138.9333333;-33.6666667;6;
2;Australia;South Australia;Burrungule;;140.5666667;-37.7833333;6;
2;Australia;South Australia;Bute;;138.0166667;-33.8666667;6;
2;Australia;South Australia;Butler Tanks;;136.1666667;-34.1;6;
2;Australia;South Australia;Butler;;136.1;-34.1166667;6;
2;Australia;South Australia;Cadell;;139.75;-34.0333333;6;
2;Australia;South Australia;Calca;;134.35;-33.0833333;6;
2;Australia;South Australia;Caliph;;140.2833333;-34.6666667;6;
