"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;Australia;Western Australia;Botherling;;116.8;-31.1333333;6;
2;Australia;Western Australia;Boulder;;121.4833333;-30.7833333;6;
2;Australia;Western Australia;Boundain;;117.3166667;-32.95;6;
2;Australia;Western Australia;Bowelling;;116.5;-33.4166667;6;
2;Australia;Western Australia;Bowes;;114.6666667;-28.3833333;6;
2;Australia;Western Australia;Bowgada;;116.1666667;-29.3333333;6;
2;Australia;Western Australia;Boya;;116.05;-31.9333333;6;
2;Australia;Western Australia;Boyanup;;115.7333333;-33.4833333;6;
2;Australia;Western Australia;Boyup Brook;;116.4;-33.8333333;6;
2;Australia;Western Australia;Bramley;;115.1;-33.9;6;
2;Australia;Western Australia;Bridgetown;;116.1333333;-33.95;6;
2;Australia;Western Australia;Bringo;;114.8333333;-28.7333333;6;
2;Australia;Western Australia;Broad Arrow;;121.45;-30.3333333;6;
2;Australia;Western Australia;Bromus;;121.6333333;-32.5;6;
2;Australia;Western Australia;Brookdale;;115.95;-32.7;6;
2;Australia;Western Australia;Brookton;;117.0166667;-32.3666667;6;
2;Australia;Western Australia;Broome;;122.2333333;-17.9666667;6;
2;Australia;Western Australia;Broomehill;;117.65;-33.85;6;
2;Australia;Western Australia;Brown Hill;;121.5;-30.7666667;6;
2;Australia;Western Australia;Bruce Rock;;118.15;-31.8833333;6;
2;Australia;Western Australia;Brunswick Junction;;115.8333333;-33.25;6;
2;Australia;Western Australia;Buckingham;;116.3333333;-33.4;6;
2;Australia;Western Australia;Buckinghams Mill;;116.3333333;-33.4;6;
2;Australia;Western Australia;Bulading;;116.6166667;-33.3666667;6;
2;Australia;Western Australia;Bullabulling;;120.5333333;-31.0166667;6;
2;Australia;Western Australia;Bullaring;;117.7333333;-32.5;6;
2;Australia;Western Australia;Bullfinch;;119.1;-30.9833333;6;
2;Australia;Western Australia;Bullsbrook;;116;-31.6666667;6;
2;Australia;Western Australia;Bulong;;121.8;-30.75;6;
2;Australia;Western Australia;Bulyee;;117.5166667;-32.3666667;6;
2;Australia;Western Australia;Bunbury;;115.6333333;-33.3333333;6;
2;Australia;Western Australia;Bundera Bundera;;113.8;-22.4;6;
2;Australia;Western Australia;Bungulluping;;118.2333333;-31.9666667;6;
2;Australia;Western Australia;Buniche;;118.8166667;-33;6;
2;Australia;Western Australia;Bunjil;;116.3666667;-29.65;6;
2;Australia;Western Australia;Bunketch;;117.1666667;-30.4333333;6;
2;Australia;Western Australia;Buntine;;116.5666667;-29.9833333;6;
2;Australia;Western Australia;Burabadji;;116.8;-31.2166667;6;
2;Australia;Western Australia;Burakin;;117.1666667;-30.5166667;6;
2;Australia;Western Australia;Burbanks;;121.1333333;-31.05;6;
2;Australia;Western Australia;Burbidge;;119.5666667;-31.55;6;
2;Australia;Western Australia;Burekup;;115.8166667;-33.3;6;
2;Australia;Western Australia;Burges;;116.7833333;-31.8166667;6;
