0;België;;;;E4.7319820000;N50.1700230000;9;
1;België;Vodelée;;;E4.7319820000;N50.1700230000;9;
1;België;Vaucelles;;;E4.7435860000;N50.1132060000;9;
1;België;Soulme;;;E4.7362840000;N50.1875880000;9;
1;België;Romerée;;;E4.6751610000;N50.1349750000;9;
1;België;Niverlée;;;E4.7009270000;N50.1176370000;9;
1;België;Matagne-la-Petite;;;E4.6466010000;N50.1187170000;9;
1;België;Matagne-la-Grande;;;E4.6230830000;N50.1171990000;9;
1;België;Gochenée;;;E4.7598300000;N50.1838390000;9;
1;België;Gimnée;;;E4.7141850000;N50.1322990000;9;
1;België;Doische;;;E4.7451560000;N50.1354940000;9;
1;België;Viroinval;;;E4.6241690000;N50.0497310000;9;
1;België;Vierves-sur-Viroin;;;E4.6342320000;N50.0803070000;9;
1;België;Treignes;;;E4.6692220000;N50.0928420000;9;
1;België;Olloy-sur-Viroin;;;E4.6073550000;N50.0734410000;9;
1;België;Oignies-en-Thiérache;;;E4.6390910000;N50.0237920000;9;
1;België;Nismes;;;E4.5483010000;N50.0747920000;9;
1;België;Mazée;;;E4.6962280000;N50.1013000000;9;
1;België;Le Mesnil;;;E4.6714330000;N50.0314900000;9;
1;België;Dourbes;;;E4.5911850000;N50.0915240000;9;
1;België;Presgaux;;;E4.4198510000;N50.0251800000;9;
1;België;Petite-Chapelle;;;E4.5051170000;N49.9501140000;9;
1;België;Petigny;;;E4.5329340000;N50.0588020000;9;
1;België;Pesche;;;E4.4587270000;N50.0423740000;9;
1;België;Mariembourg;;;E4.5221760000;N50.0949510000;9;
1;België;Gonrieux;;;E4.4262190000;N50.0360470000;9;
1;België;Frasnes, Namur;;;E4.5089140000;N50.0767420000;9;
1;België;Dailly;;;E4.4357090000;N50.0574820000;9;
1;België;Cul-des-Sarts;;;E4.4546930000;N49.9620800000;9;
1;België;Couvin;;;E4.4971550000;N50.0516940000;9;
1;België;Brûly-de-Pesche;;;E4.4607010000;N50.0009900000;9;
1;België;Brûly;;;E4.5276730000;N49.9700580000;9;
1;België;Boussu-en-Fagne;;;E4.4718510000;N50.0763230000;9;
1;België;Aublain;;;E4.4090750000;N50.0675770000;9;
1;België;Thy-le-Château;;;E4.4259160000;N50.2823570000;9;
1;België;Tarcienne;;;E4.4978150000;N50.3121150000;9;
