3;USA;Guam;Guam;Paseo De Oro;E144.785;N13.4989;12;
3;USA;Guam;Guam;Peca;E144.749;N13.28;12;
3;USA;Guam;Guam;Perez Acres;E144.884;N13.5228;12;
3;USA;Guam;Guam;Piga;E144.671;N13.2633;12;
3;USA;Guam;Guam;Pigo;E144.731;N13.4767;12;
3;USA;Guam;Guam;Pigua;E144.669;N13.2694;12;
3;USA;Guam;Guam;Piti;E144.691;N13.4608;12;
3;USA;Guam;Guam;Ponderosa Gardens;E144.882;N13.53;12;
3;USA;Guam;Guam;Potts Junction;E144.862;N13.5886;12;
3;USA;Guam;Guam;Royal Garden;E144.786;N13.4967;12;
3;USA;Guam;Guam;Salas Subdivision;E144.89;N13.5383;12;
3;USA;Guam;Guam;Salinas;E144.659;N13.3908;12;
3;USA;Guam;Guam;Salisbury Junction;E144.897;N13.5628;12;
3;USA;Guam;Guam;San Antonio;E144.803;N13.4658;12;
3;USA;Guam;Guam;San Ramon;E144.752;N13.4692;12;
3;USA;Guam;Guam;San Vicente;E144.664;N13.3908;12;
3;USA;Guam;Guam;Santa Rita;E144.669;N13.3861;12;
3;USA;Guam;Guam;Santa Rosa;E144.666;N13.3914;12;
3;USA;Guam;Guam;Schroeder Junction;E144.689;N13.4608;12;
3;USA;Guam;Guam;Sella;E144.731;N13.47;12;
3;USA;Guam;Guam;Sinajana;E144.752;N13.4606;12;
3;USA;Guam;Guam;Socio;E144.786;N13.4886;12;
3;USA;Guam;Guam;South Acres;E144.835;N13.5097;12;
3;USA;Guam;Guam;South Tipalao;E144.648;N13.4147;12;
3;USA;Guam;Guam;Spring Hill Subdivision;E144.885;N13.5408;12;
3;USA;Guam;Guam;Sumay Housing Area;E144.649;N13.4342;12;
3;USA;Guam;Guam;Sumay;E144.65;N13.4347;12;
3;USA;Guam;Guam;Summer Place Subdivision;E144.824;N13.5117;12;
3;USA;Guam;Guam;Tacpi;E144.792;N13.4344;12;
3;USA;Guam;Guam;Takano Subdivision;E144.891;N13.5278;12;
3;USA;Guam;Guam;Talofofo;E144.753;N13.3517;12;
3;USA;Guam;Guam;Talona;E144.672;N13.2578;12;
3;USA;Guam;Guam;Tamuning;E144.777;N13.4839;12;
3;USA;Guam;Guam;Tepungan;E144.695;N13.4647;12;
